specialOffice,latitude,longitude,postal_code,post_name
Merkur,46.24946715,15.28178133654001,3505,Celje
"Pošta Slovenije d.o.o., PE Celje",46.2293889,15.2616828,3600,Celje
Mimovrste d.o.o.,46.196794,14.551421,1508,Komenda
Luka Koper,45.55713395,13.747319704838208,6501,Koper - Capodistria
"Banka Intesa Sanpaolo, d.d.",45.545003,13.729373,6502,Koper - Capodistria
Generali zavarovalnica d.d.,45.9415847,15.4882409,6503,Koper - Capodistria
Intereuropa Koper,45.548165,13.737652,6504,Koper - Capodistria
"Pošta Slovenije d.o.o., PE Koper",,,6600.0,Koper - Capodistria***********************************************************
Sava,46.2463548,14.3484057,4502,Kranj
"Pošta Slovenije d.o.o., PLC Ljubljana",46.0500268,14.5069289,1002,Ljubljana
Ministrstvo za notranje zadeve,46.051681450000004,14.497382521082354,1501,Ljubljana
Ministrstvo za finance,46.05329585,14.50042904742456,1502,Ljubljana
Okrožno sodišče v Ljubljani,46.0500268,14.5069289,1503,Ljubljana
Gospodarska zbornica Slovenije,46.0719821,14.514311141285008,1504,Ljubljana
Banka Slovenije,46.0556282,14.5090425,1505,Ljubljana
Slovenske železnice,46.0580003,14.5100424,1506,Ljubljana
Zavod za zdrav. zav. Slov.,46.0500268,14.5069289,1507,Ljubljana
Delo,46.05938285,14.505995424816295,1509,Ljubljana
Dnevnik,46.051040799999996,14.510907591804433,1510,Ljubljana
Slovenijales,46.0935135,14.5539316,1511,Ljubljana
Cankarjeva založba,46.0500268,14.5069289,1512,Ljubljana
SKB banka,46.0823744,14.5140607,1513,Ljubljana
Elektro Ljubljana,46.0500268,14.5069289,1516,Ljubljana
Abanka Vipa,46.056105,14.509216,1517,Ljubljana
Zavod za pokoj. in inval. zav. Slov.,46.0500268,14.5069289,1518,Ljubljana
SPL Ljubljana,46.0617139,14.4993843,1519,Ljubljana
Nova Ljubljanska banka,46.0548011,14.5059983,1520,Ljubljana
Iskra invest,46.031429,14.465997,1521,Ljubljana
Carinska uprava Republike Slovenije,46.0500268,14.5069289,1523,Ljubljana
Carinarnica Ljubljana,46.0500268,14.5069289,1524.,Ljubljana
Klinični center Ljubljana,46.053693,14.521166,1520,Ljubljana
Lek,46.080155,14.501519,1526,Ljubljana
Petrol,46.0630994,14.525226253886046,1527,Ljubljana
Žito,46.0669855,14.504291145666528,1529,Ljubljana
Salamonov oglasnik,46.0500268,14.5069289,1532,Ljubljana
BTC,46.06570945,14.544049663172771,1533,Ljubljana
Okrajno sodišče v Ljubljani,46.0500268,14.5069289,1534,Ljubljana
Ministrstvo za promet,46.0500268,14.5069289,1535,Ljubljana
Mladinska knjiga Založba,46.052179,14.507775,1536,Ljubljana
DZS,46.0733761,14.4853115,1538,Ljubljana
"EPPS, Elektron. pismo Pošte Slov.",46.063562,14.48854,1540,Ljubljana
KDD - Centralna klirinško depotna družba,46.0500268,14.5069289,1542,Ljubljana
Športna loterija,46.069858,14.496568,1543,Ljubljana
Kolinska,46.05949605,14.523108622783212,1544,Ljubljana
Kanal A,46.0500268,14.5069289,1545,Ljubljana
Telekom Slovenije,46.0572667,14.5067909,1546,Ljubljana
"Telekom Slovenije, PE Ljubljana",46.057267,14.506791,1547,Ljubljana
RTV Slovenija,46.054498,14.509521,1550,Ljubljana
ABOUT YOU GmbH,46.0500268,14.5069289,1555,Ljubljana
Packeta International S.r.o.,46.0500268,14.5069289,1556,Ljubljana
"Zalando SE, Valeska-Gert",46.0500268,14.5069289,1557,Ljubljana
"Pošta Slovenije d.o.o., PE Ljubljana",46.0500268,14.5069289,1600,Ljubljana
"Pošta Slovenije d.o.o., PLC Maribor",46.5576439,15.6455854,2002,Maribor
Pošta Slovenije d.o.o.,46.558659,15.650783,2500,Maribor
Upravna enota Maribor,46.5731867,15.6158848,2501,Maribor
"Finančna uprava RS, izpostava Maribor",46.5576439,15.6455854,2502,Maribor
Okrajno in okrožno sodišče v Mariboru,46.5576439,15.6455854,2503,Maribor
Nova Kreditna banka Maribor,46.5576439,15.6455854,2505,Maribor
Henkel Slovenija,46.55818,15.659942,2506,Maribor
Zavarovalnica Sava,46.53810135,15.641496338872898,2507,Maribor
Okrajno sodišče v Mariboru,46.5610329,15.655009330909316,2508,Maribor
"Pošta Slovenije d.o.o., PE Maribor",46.5576439,15.6455854,2600,Maribor
"Pošta Slovenije d.o.o., Skladišče Maribor",46.5576439,15.6455854,2609,Maribor
Merkur,46.263722,14.320861,4501,Naklo
Krka,45.8178081,15.176307605918485,8501,Novo mesto
Gorenje,46.3649932,15.093204492559828,3503,Velenje
ERA,46.3592869,15.1150301,3504,Velenje
