specialOffice,latitude,longitude,postalCode,place
Merkur,46.2400712,15.2839405,3505,Celje
"Pošta Slovenije d.o.o., PE Celje",46.221392,15.3127059,3600,Celje
Mimovrste d.o.o.,46.1898971,14.4990328,1508,Komenda
Luka Koper,45.55431,13.7318155,6501,Koper - Capodistria
"Banka Intesa Sanpaolo, d.d.",45.5440533,13.720854,6502,Koper - Capodistria
Generali zavarovalnica d.d.,45.5417848,13.7298451,6503,Koper - Capodistria
Intereuropa Koper,45.5417843,13.7221203,6504,Koper - Capodistria
"Pošta Slovenije d.o.o., PE Koper",45.54017,13.7206243,6600,Koper - Capodistria
Sava,46.2365019,14.343681,4502,Kranj
"Pošta Slovenije d.o.o., PLC Ljubljana",46.033317,14.4786205,1002,Ljubljana
Ministrstvo za notranje zadeve,46.0534822,14.5009832,1501,Ljubljana
Ministrstvo za finance,46.0532936,14.4827596,1502,Ljubljana
Okrožno sodišče v Ljubljani,46.0532927,14.4827596,1503,Ljubljana
Gospodarska zbornica Slovenije,46.0715588,14.512208,1504,Ljubljana
Banka Slovenije,46.0526878,14.5007848,1505,Ljubljana
Slovenske železnice,46.056448,14.5068886,1506,Ljubljana
Zavod za zdrav. zav. Slov.,46.0550717,14.5050516,1507,Ljubljana
Delo,46.0698033,14.4805254,1509,Ljubljana
Dnevnik,46.0510898,14.5083316,1510,Ljubljana
Slovenijales,46.0961484,14.5123554,1511,Ljubljana
Cankarjeva založba,46.0516186,14.4843945,1512,Ljubljana
SKB banka,46.0823744,14.5140607,1513,Ljubljana
Elektro Ljubljana,46.0500268,14.5069289,1516,Ljubljana
Abanka Vipa,46.056105,14.509216,1517,Ljubljana
Zavod za pokoj. in inval. zav. Slov.,46.0500268,14.5069289,1518,Ljubljana
SPL Ljubljana,46.0617139,14.4993843,1519,Ljubljana
Nova Ljubljanska banka,46.0548011,14.5059983,1520,Ljubljana
Iskra invest,46.031429,14.465997,1521,Ljubljana
Carinska uprava Republike Slovenije,46.0500268,14.5069289,1523,Ljubljana
Carinarnica Ljubljana,46.0500268,14.5069289,1524.,Ljubljana
Klinični center Ljubljana,46.053693,14.521166,1525,Ljubljana
Lek,46.080155,14.501519,1526,Ljubljana
Petrol,46.0630994,14.525226253886046,1527,Ljubljana
Žito,46.0669855,14.504291145666528,1529,Ljubljana
Salamonov oglasnik,46.0500268,14.5069289,1532,Ljubljana
BTC,46.06570945,14.544049663172771,1533,Ljubljana
Okrajno sodišče v Ljubljani,46.0500268,14.5069289,1534,Ljubljana
Ministrstvo za promet,46.0500268,14.5069289,1535,Ljubljana
Mladinska knjiga Založba,46.052179,14.507775,1536,Ljubljana
DZS,46.0733761,14.4853115,1538,Ljubljana
"EPPS, Elektron. pismo Pošte Slov.",46.063562,14.48854,1540,Ljubljana
KDD - Centralna klirinško depotna družba,46.0500268,14.5069289,1542,Ljubljana
Športna loterija,46.069858,14.496568,1543,Ljubljana
Kolinska,46.05949605,14.523108622783212,1544,Ljubljana
Kanal A,46.0500268,14.5069289,1545,Ljubljana
Telekom Slovenije,46.0572667,14.5067909,1546,Ljubljana
"Telekom Slovenije, PE Ljubljana",46.057267,14.506791,1547,Ljubljana
RTV Slovenija,46.054498,14.509521,1550,Ljubljana
ABOUT YOU GmbH,46.0500268,14.5069289,1555,Ljubljana
Packeta International S.r.o.,46.0500268,14.5069289,1556,Ljubljana
"Zalando SE, Valeska-Gert",46.0500268,14.5069289,1557,Ljubljana
"Pošta Slovenije d.o.o., PE Ljubljana",46.0500268,14.5069289,1600,Ljubljana
"Pošta Slovenije d.o.o., PLC Maribor",46.5576439,15.6455854,2002,Maribor
Pošta Slovenije d.o.o.,46.558659,15.650783,2500,Maribor
Upravna enota Maribor,46.5731867,15.6158848,2501,Maribor
"Finančna uprava RS, izpostava Maribor",46.5576439,15.6455854,2502,Maribor
Okrajno in okrožno sodišče v Mariboru,46.5576439,15.6455854,2503,Maribor
Nova Kreditna banka Maribor,46.5576439,15.6455854,2505,Maribor
Henkel Slovenija,46.55818,15.659942,2506,Maribor
Zavarovalnica Sava,46.53810135,15.641496338872898,2507,Maribor
Okrajno sodišče v Mariboru,46.5610329,15.655009330909316,2508,Maribor
"Pošta Slovenije d.o.o., PE Maribor",46.5576439,15.6455854,2600,Maribor
"Pošta Slovenije d.o.o., Skladišče Maribor",46.5576439,15.6455854,2609,Maribor
Merkur,46.263722,14.320861,4501,Naklo
Krka,45.8178081,15.176307605918485,8501,Novo mesto
Gorenje,46.3649932,15.093204492559828,3503,Velenje
ERA,46.3592869,15.1150301,3504,Velenje
